name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,2012-10-28,31,15.9,23.3,28.9,15.9,22.7,-2.3,19.7,0,0,0,,0,0,,15,47.2,1012.6,11,16,,,,,2012-10-28T06:43:58,2012-10-28T17:39:35,0.46,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2012-10-29,31,15.8,23.4,28.9,15.8,22.8,-1.2,20.7,0,0,0,,0,0,,12.1,83.1,1015.1,0,16,,,,,2012-10-29T06:44:50,2012-10-29T17:38:36,0.5,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2012-10-30,30.9,16.5,23,28.8,16.5,22.5,-0.7,22.5,0,0,0,,0,0,,12.6,100.7,1014.1,0,16,,,,,2012-10-30T06:45:42,2012-10-30T17:37:38,0.53,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2012-10-31,30.7,15.7,22.8,28.7,15.7,22.3,-1.6,21.3,0,0,0,,0,0,,11.5,118.6,1012.9,29.2,16,,,,,2012-10-31T06:46:35,2012-10-31T17:36:42,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2012-11-01,30.9,15.6,22.9,28.8,15.6,22.4,-2.2,20.2,0,0,0,,0,0,,12.3,103.4,1011.6,13.9,16,,,,,2012-11-01T06:47:28,2012-11-01T17:35:46,0.6,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2012-11-02,29.1,17.7,22.7,27.4,17.7,22.3,-0.3,22.7,0,0,0,,0,0,,13.1,95.5,1010.7,46.2,16,,,,,2012-11-02T06:48:21,2012-11-02T17:34:52,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2012-11-03,29,15.8,22.4,27.4,15.8,22.1,1.9,26.9,0,0,0,,0,0,,12,113,1013.7,27.6,16,,,,,2012-11-03T06:49:15,2012-11-03T17:33:59,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2012-11-04,31.7,14.9,23.3,29.5,14.9,22.7,1.2,26.2,0,0,0,,0,0,,11.2,298.3,1015.8,9,16,,,,,2012-11-04T06:50:09,2012-11-04T17:33:08,0.7,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2012-11-05,32.7,15.8,24.1,30.4,15.8,23.4,-2,20.2,0,0,0,,0,0,,13.6,140.5,1015.7,2,16,,,,,2012-11-05T06:51:03,2012-11-05T17:32:18,0.73,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2012-11-06,32,16,23.7,29.7,16,23.1,-0.8,21.3,0,0,0,,0,0,,11.8,108.8,1015.1,0,16,,,,,2012-11-06T06:51:58,2012-11-06T17:31:30,0.75,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
