name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,2000-01-01,15.7,8.9,12.4,15.7,6.8,12.3,1,46.2,0,0,0,,,,,22.3,231.3,1015.9,55,15.7,,,,,2000-01-01T07:32:27,2000-01-01T17:31:09,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-02,13.9,6.7,9.1,13.9,4.4,8.2,1.9,62.3,0.3,100,4.17,rain,,,,22.3,233.9,1016.6,70.8,15.9,,,,,2000-01-02T07:32:39,2000-01-02T17:31:53,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,72278023183
Arizona,2000-01-03,14.4,1.7,7.8,14.4,-0.6,7.5,-3.5,52.5,0,0,0,,,,,16.6,50.2,1026.7,15,15.8,,,,,2000-01-03T07:32:49,2000-01-03T17:32:39,0.9,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2000-01-04,18.4,5.1,11.4,18.4,4.8,11,-10.6,21.3,0,0,0,,,,,20.5,43.2,1026.3,0,15.9,,,,,2000-01-04T07:32:58,2000-01-04T17:33:26,0.93,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2000-01-05,17.2,3.4,10.2,17.2,1.9,9.9,-5.8,34.4,0,0,0,,,,,13,76.9,1017.8,9,15.8,,,,,2000-01-05T07:33:04,2000-01-05T17:34:14,0.97,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2000-01-06,16.7,3.4,10.6,16.7,2.6,10.5,-8.2,30.2,0,0,0,,,,,16.6,23.3,1023.7,0,15.6,,,,,2000-01-06T07:33:09,2000-01-06T17:35:03,0,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2000-01-07,18.4,3.9,11,18.4,2.6,10.8,-8.2,26.3,0,0,0,,,,,20.5,75.7,1024.8,24.2,16,,,,,2000-01-07T07:33:12,2000-01-07T17:35:53,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-08,17.2,3.9,9.9,17.2,1.9,9.5,-5.4,35.5,0,0,0,,,,,11.2,132,1020.7,21.7,16,,,,,2000-01-08T07:33:13,2000-01-08T17:36:44,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-09,16.7,2.9,9.7,16.7,0.3,8.9,-5.1,36.8,0,0,0,,,,,11.2,105.2,1020.8,45.9,15.6,,,,,2000-01-09T07:33:13,2000-01-09T17:37:35,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-10,19.4,4.4,11.2,19.4,2.5,10.5,-6,32.4,0,0,0,,,,,11.2,111.1,1019.1,20,15.7,,,,,2000-01-10T07:33:10,2000-01-10T17:38:28,0.14,Clear,Partly cloudy throughout the day.,clear-day,72278023183
Arizona,2000-01-11,21.2,5.7,12.5,21.2,4,12,-5.1,31,0,0,0,,,,,11.2,104,1018.3,30.8,15.8,,,,,2000-01-11T07:33:06,2000-01-11T17:39:21,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-12,22.2,6.7,13.5,22.2,5.2,13,-4.7,29.7,0,0,0,,,,,13,103.5,1020.4,31.7,16,,,,,2000-01-12T07:33:00,2000-01-12T17:40:14,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-13,24.4,6.7,14.6,24.4,5.4,14.3,-1.4,34.9,0,0,0,,,,,11.2,357.1,1023.9,41.7,14.3,,,,,2000-01-13T07:32:52,2000-01-13T17:41:09,0.24,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,72278023183
Arizona,2000-01-14,26.7,9.4,17.9,26.7,9.4,17.9,-2.3,27.3,0,0,0,,,,,14.8,95.9,1020.8,68.3,15.7,,,,,2000-01-14T07:32:42,2000-01-14T17:42:03,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-15,26.7,9.4,17.1,26.7,9.4,17.1,-2.8,26.8,0,0,0,,,,,18.7,113.9,1019.6,64.8,15.5,,,,,2000-01-15T07:32:31,2000-01-15T17:42:59,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-16,25.1,10.1,17.2,25.1,10.1,17.2,-3.2,26.1,0,0,0,,,,,13,119.3,1020.4,64.8,15.5,,,,,2000-01-16T07:32:17,2000-01-16T17:43:55,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-17,25.7,12.2,18.9,25.7,12.2,18.9,-1.7,25.7,0,0,0,,,,,14.8,100.2,1020.8,90.8,15,,,,,2000-01-17T07:32:02,2000-01-17T17:44:51,0.38,Overcast,Cloudy skies throughout the day.,cloudy,72278023183
Arizona,2000-01-18,26.2,15.1,19.9,26.2,15.1,19.9,1.6,30.1,0,0,0,,,,,13,95,1018.1,97.5,14.6,,,,,2000-01-18T07:31:45,2000-01-18T17:45:48,0.42,Overcast,Cloudy skies throughout the day.,cloudy,72278023183
Arizona,2000-01-19,25.7,12.2,18.2,25.7,12.2,18.2,2,35.6,0,0,0,,,,,11.2,125.7,1017.6,73.2,13.8,,,,,2000-01-19T07:31:26,2000-01-19T17:46:45,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-20,25.1,12.2,17.7,25.1,12.2,17.7,2.4,37,0,0,0,,,,,13,100.2,1016.1,77.4,14.3,,,,,2000-01-20T07:31:06,2000-01-20T17:47:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-21,22.2,12.9,17,22.2,12.9,17,4.7,44.6,0,0,0,,,,,13,105.4,1014.6,93.3,15.5,,,,,2000-01-21T07:30:43,2000-01-21T17:48:40,0.52,Overcast,Cloudy skies throughout the day.,cloudy,72278023183
Arizona,2000-01-22,20.7,12.9,15.9,20.7,12.9,15.9,5,49.3,0,0,0,,,,,11.2,88.1,1014.7,79.6,15.8,,,,,2000-01-22T07:30:19,2000-01-22T17:49:38,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-23,21.7,7.9,14.6,21.7,6.2,14.4,0.3,40.5,0,0,0,,,,,14.8,108.2,1018.6,57.9,15.5,,,,,2000-01-23T07:29:53,2000-01-23T17:50:36,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-24,22.9,11.7,16.7,22.9,11.7,16.7,-0.5,32.4,0,0,0,,,,,14.8,111.7,1018.8,78.3,14.8,,,,,2000-01-24T07:29:26,2000-01-24T17:51:34,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-25,25.1,11.7,18.8,25.1,11.7,18.8,-1,27.2,0,0,0,,,,,13,88.7,1016.1,88.8,15.8,,,,,2000-01-25T07:28:57,2000-01-25T17:52:32,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-26,20.7,13.9,18.1,20.7,13.9,18.1,-0.2,29.3,0,0,0,,,,,31.7,264.6,1012.6,63.9,15.6,,,,,2000-01-26T07:28:26,2000-01-26T17:53:31,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-27,18.9,8.9,14,18.9,8.9,14,-0.8,38,0,0,0,,,,,16.6,219.8,1018.8,24.2,16,,,,,2000-01-27T07:27:53,2000-01-27T17:54:29,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-28,19.4,6.2,12.7,19.4,5.3,12.4,-3.8,34,0,0,0,,,,,13,137.8,1019.3,20.4,16,,,,,2000-01-28T07:27:19,2000-01-28T17:55:28,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-29,19.4,6.2,12.8,19.4,5.8,12.6,-6.5,27.9,0,0,0,,,,,11.2,129.5,1019,57.9,15.9,,,,,2000-01-29T07:26:43,2000-01-29T17:56:26,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-01-30,20.1,10.1,14.6,20.1,10.1,14.6,-6.3,23.8,0,0,0,,,,,13,116.4,1019,90.8,15.9,,,,,2000-01-30T07:26:05,2000-01-30T17:57:25,0.81,Overcast,Cloudy skies throughout the day.,cloudy,72278023183
Arizona,2000-01-31,18.9,10.7,14.6,18.9,10.7,14.6,-0.6,36,0,0,0,,,,,13,94.2,1019.4,85.8,16,,,,,2000-01-31T07:25:26,2000-01-31T17:58:23,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2000-02-01,20.7,7.9,14.7,20.7,5.9,14.6,-3.5,35.1,0,0,0,,,,,18.7,17.2,1023.6,7.5,16,,,,,2000-02-01T07:24:46,2000-02-01T17:59:21,0.88,Clear,Clear conditions throughout the day.,clear-day,72278023183
