name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,2002-01-01,18.9,7.2,12.9,18.9,5.4,12.7,3.6,56.6,0,0,0,,0,0,,16.6,103.6,1019,33.9,16,,,,,2002-01-01T07:32:34,2002-01-01T17:31:31,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-02,18.4,11.2,14.5,18.4,11.2,14.5,-1.5,33.8,0,0,0,,0,0,,25.9,71.1,1020.5,92.9,16,,,,,2002-01-02T07:32:45,2002-01-02T17:32:17,0.62,Overcast,Cloudy skies throughout the day.,cloudy,72278023183
Arizona,2002-01-03,18.4,10.1,14.1,18.4,10.1,14.1,-0.3,38.1,0,0,0,,0,0,,18.7,73,1018.5,87.8,16,,,,,2002-01-03T07:32:54,2002-01-03T17:33:03,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-04,18.9,7.2,12.7,18.9,5.4,12.5,1.7,48.6,0,0,0,,0,0,,24.1,250,1019.7,6.3,16,,,,,2002-01-04T07:33:02,2002-01-04T17:33:51,0.69,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2002-01-05,17.9,6.2,12,17.9,5.8,11.8,-3.3,38.3,0,0,0,,0,0,,16.6,232.6,1027,46.3,16,,,,,2002-01-05T07:33:07,2002-01-05T17:34:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-06,18.9,5.7,11.6,18.9,3.2,11,-3.9,35.7,0,0,0,,0,0,,11.2,116.8,1026.3,66.3,16,,,,,2002-01-06T07:33:11,2002-01-06T17:35:29,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-07,22.2,6.7,13.8,22.2,4.1,13.2,-0.3,39.9,0,0,0,,0,0,,13,93.7,1024.5,73.8,16,,,,,2002-01-07T07:33:13,2002-01-07T17:36:19,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-08,27.2,8.9,17.1,26.7,7.4,17,2.5,40.7,0,0,0,,0,0,,11.2,103.4,1018.9,47.9,16,,,,,2002-01-08T07:33:14,2002-01-08T17:37:10,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-09,22.2,11.7,16.7,22.2,11.7,16.7,3,41.2,0,0,0,,0,0,,14.8,110.1,1014.9,80,16,,,,,2002-01-09T07:33:12,2002-01-09T17:38:02,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-10,23.4,13.4,16.8,23.4,13.4,16.8,4.9,46.4,0,0,0,,0,0,,46.4,64.5,1016.7,71.3,15.8,,,,,2002-01-10T07:33:09,2002-01-10T17:38:55,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-11,23.9,11.2,17.2,23.9,11.2,17.2,0.1,33.1,0,0,0,,0,0,,31.7,53.7,1023,0,16,,,,,2002-01-11T07:33:04,2002-01-11T17:39:48,0.94,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2002-01-12,23.4,9.4,15.7,23.4,8,15.6,0.1,37.2,0,0,0,,0,0,,16.6,108.5,1021.7,31.3,16,,,,,2002-01-12T07:32:57,2002-01-12T17:40:42,0.97,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,72278023183
Arizona,2002-01-13,21.7,7.9,14.1,21.7,6.2,13.7,-0.2,40.3,0,0,0,,0,0,,14.8,98.7,1014.6,2.5,16,,,,,2002-01-13T07:32:48,2002-01-13T17:41:37,0,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2002-01-14,22.9,7.2,14.4,22.9,4.2,13.9,-1.9,35,0,0,0,,0,0,,16.6,105.8,1013.9,34.6,16,,,,,2002-01-14T07:32:37,2002-01-14T17:42:32,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-15,20.7,9.4,14.2,20.7,7.2,14.1,-0.8,36.3,0,0,0,,0,0,,16.6,86,1013.1,89.6,16,,,,,2002-01-15T07:32:25,2002-01-15T17:43:27,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-16,17.2,12.2,14.5,17.2,12.2,14.5,5.5,55.2,0,0,0,,0,0,,20.5,297.4,1015.9,92.9,16,,,,,2002-01-16T07:32:10,2002-01-16T17:44:24,0.1,Overcast,Cloudy skies throughout the day.,cloudy,72278023183
Arizona,2002-01-17,16.7,7.9,11.8,16.7,6.5,11.6,-1.5,40.5,0,0,0,,0,0,,11.2,245.6,1018.9,80.4,15.9,,,,,2002-01-17T07:31:54,2002-01-17T17:45:20,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-18,16.7,3.9,9.7,16.7,1.5,9,-3.8,44.3,0,0,0,,0,0,,14.8,141.5,1020.2,65.4,16,,,,,2002-01-18T07:31:36,2002-01-18T17:46:17,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-19,15.7,3.9,10.1,15.7,3.8,9.6,-9.1,28,0,0,0,,0,0,,20.5,85.6,1019,70,16,,,,,2002-01-19T07:31:16,2002-01-19T17:47:14,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-20,16.2,2.9,9.4,16.2,-0.5,8.7,-8.4,29.8,0,0,0,,0,0,,13,93.4,1018.5,0,16,,,,,2002-01-20T07:30:55,2002-01-20T17:48:12,0.23,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2002-01-21,18.9,3.9,10.7,18.9,0.7,9.8,-8,28.3,0,0,0,,0,0,,16.6,103.6,1017.6,12.5,16,,,,,2002-01-21T07:30:32,2002-01-21T17:49:10,0.25,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2002-01-22,18.9,5.1,11.9,18.9,1.3,10.7,-6.4,29.2,0,0,0,,0,0,,18.7,87.3,1013.1,36.3,16,,,,,2002-01-22T07:30:07,2002-01-22T17:50:07,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-23,15.1,9.4,11.9,15.1,8,11.9,-5.2,31.5,0,0,0,,0,0,,27.7,265.2,1014.4,71.7,16,,,,,2002-01-23T07:29:40,2002-01-23T17:51:06,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-24,17.2,3.9,10.7,17.2,0.7,10,-13.1,17.7,0,0,0,,0,0,,20.5,341.5,1025.5,0,16,,,,,2002-01-24T07:29:11,2002-01-24T17:52:04,0.36,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2002-01-25,21.7,5.7,13.8,21.7,3.6,13.3,-8.5,21,0,0,0,,0,0,,22.3,90.8,1022.1,15,16,,,,,2002-01-25T07:28:41,2002-01-25T17:53:02,0.4,Clear,Clear conditions throughout the day.,clear-day,72278023183
Arizona,2002-01-26,23.4,7.9,15.2,23.4,5.9,14.9,-4.5,26.1,0,0,0,,0,0,,16.6,110.8,1016.4,56.3,16,,,,,2002-01-26T07:28:09,2002-01-26T17:54:01,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-27,20.1,8.9,14.8,20.1,6.5,14.7,-0.6,35.3,0,0,0,,0,0,,16.6,89,1014.1,90,16,,,,,2002-01-27T07:27:36,2002-01-27T17:54:59,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-28,18.4,11.2,14.5,18.4,11.2,14.5,0.2,39.1,0,0,0,,0,0,,20.5,282,1013.8,100,16,,,,,2002-01-28T07:27:01,2002-01-28T17:55:58,0.5,Overcast,Cloudy skies throughout the day.,cloudy,72278023183
Arizona,2002-01-29,15.1,10.1,12.1,15.1,10.1,12.1,-2,38.5,0,0,0,,0,0,,24.1,266.4,1013.1,88.3,16,,,,,2002-01-29T07:26:24,2002-01-29T17:56:56,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-01-30,11.7,5.7,8.5,11.7,2.1,6.5,-0.6,55.7,1.3,100,8.33,rain,0,0,,24.1,286.6,1014.6,90,16,,,,,2002-01-30T07:25:46,2002-01-30T17:57:55,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,72278023183
Arizona,2002-01-31,12.2,2.9,7.3,12.2,-0.2,6.3,-3.3,50.1,0,0,0,,0,0,,14.8,92.7,1024.9,27.9,16,,,,,2002-01-31T07:25:06,2002-01-31T17:58:53,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-02-01,17.9,4.4,11.5,17.9,3.8,10.9,-8.3,25.6,0,0,0,,0,0,,31.7,62.4,1022.1,62.9,16,,,,,2002-02-01T07:24:25,2002-02-01T17:59:51,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
Arizona,2002-02-02,16.2,7.9,12,16.2,7.9,11.9,-3.7,34,0,0,0,,0,0,,16.6,210.1,1019.4,87.5,16,,,,,2002-02-02T07:23:42,2002-02-02T18:00:49,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,72278023183
