name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,1997-02-25,15.7,9.8,12.1,15.7,8.6,12,3.4,56,1.417,100,4.17,rain,,,,14.8,165.8,1011.1,85.9,17.8,,,,,1997-02-25T07:01:06,1997-02-25T18:22:00,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72278023183,72278523111"
Arizona,1997-02-26,16.2,6,11.3,16.2,3.7,10.6,1.3,54.3,0,0,0,,,,,12.9,101.2,1009.6,58.8,17.6,,,,,1997-02-26T06:59:55,1997-02-26T18:22:51,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1997-02-27,14.3,7.1,10.5,14.3,4.7,9.8,5.1,71.1,9.836,100,29.17,rain,,,,27.8,153.9,1002.3,92.9,16.1,,,,,1997-02-27T06:58:44,1997-02-27T18:23:41,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72278023183,72278523111"
Arizona,1997-02-28,13.3,8.3,10.5,13.3,5.6,9.8,7.7,83.2,3.31,100,25,rain,,,,36.9,251.2,1004.3,92.5,16.3,,,,,1997-02-28T06:57:32,1997-02-28T18:24:31,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72278023183,72278523111"
Arizona,1997-03-01,15.7,3.9,10,15.7,2.4,9.5,2.8,66.7,0,0,0,,,,,11.8,185.6,1018.8,32.1,18.7,,,,,1997-03-01T06:56:19,1997-03-01T18:25:21,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1997-03-02,18.8,5.6,12.3,18.8,3.9,11.7,3.4,58.5,0,0,0,,,,,12.5,104.3,1019.2,36.6,19.6,,,,,1997-03-02T06:55:05,1997-03-02T18:26:10,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
