name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,1992-09-27,39.9,24.1,31.8,37.3,24.1,30.4,8.1,25.4,0,0,0,,,,,12.5,64,1010.4,4.1,65.7,,,,,1992-09-27T06:20:01,1992-09-27T18:17:39,0.04,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-09-28,41.5,24.8,33.4,38.9,24.8,31.8,6.6,20.8,0,0,0,,,,,19.4,85.6,1010,3.2,70.3,,,,,1992-09-28T06:20:43,1992-09-28T18:16:18,0.08,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-09-29,38.8,28.6,33.1,36.4,27.2,31,4.7,17.1,0,0,0,,,,,22.2,85.8,1013.5,0.4,53.9,,,,,1992-09-29T06:21:25,1992-09-29T18:14:56,0.11,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-09-30,38.3,25.3,32.2,35.1,25.3,30.1,1,14.9,0,0,0,,,,,27.7,84.5,1013.4,4.6,72.2,,,,,1992-09-30T06:22:07,1992-09-30T18:13:35,0.14,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
