name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,2010-02-01,18.9,9,13.9,18.9,7.7,13.8,4.5,55.4,0,0,0,,0,0,,11.5,90.1,1012.8,69.6,16,160.7,13.8,7,,2010-02-01T07:24:20,2010-02-01T17:59:54,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-02-02,21.9,11,16,21.9,11,16,4.6,49.7,0,0,0,,0,0,,12.4,100.4,1008.6,81.4,16.2,118.9,10.4,5,,2010-02-02T07:23:37,2010-02-02T18:00:52,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-02-03,20.9,12.1,16.2,20.9,12.1,16.2,5.6,51.9,0.267,100,4.17,rain,0,0,,14.7,174,1002.9,83.9,16,77.8,6.8,3,,2010-02-03T07:22:53,2010-02-03T18:01:50,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-02-04,18.7,10,14.3,18.7,8.3,14.3,6.3,61.4,0,0,0,,0,0,,15.5,104.8,1011,47.4,16,161.6,13.9,7,,2010-02-04T07:22:07,2010-02-04T18:02:48,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-02-05,19.8,9.9,14.9,19.8,9.2,14.9,6.3,58.3,0,0,0,,0,0,,13.8,122.9,1015.8,79.9,16,137.8,11.9,6,,2010-02-05T07:21:20,2010-02-05T18:03:45,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-02-06,19.8,10.8,15.3,19.8,10.8,15.3,5.4,53.7,0,0,0,,0,0,25.9,18.2,92.2,1012.9,77,16,190.6,16.3,7,,2010-02-06T07:20:31,2010-02-06T18:04:42,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-02-07,16.5,9.9,13,16.5,8.9,12.9,4.9,60.6,1.639,100,25,rain,0,0,52.2,30.2,261.7,1008.9,78.4,15.9,165.1,14.2,6,,2010-02-07T07:19:41,2010-02-07T18:05:39,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-02-08,16.9,7.9,12.5,16.9,6.2,12.3,3.2,55.7,0,0,0,,0,0,,11.5,90.9,1012.2,40.9,16,197.2,17.1,7,,2010-02-08T07:18:49,2010-02-08T18:06:36,0.82,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-02-09,18.6,7.8,13,18.6,6.3,12.6,2.1,50.4,0,0,0,,0,0,,12.1,115.7,1013.3,35.2,16,183.1,15.9,7,,2010-02-09T07:17:56,2010-02-09T18:07:33,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-02-10,15.6,10.6,12.2,15.6,10.6,12.2,4.8,61.1,0.48,100,8.33,rain,0,0,38.9,19.6,154.1,1010.9,81.5,16,86,7.5,4,,2010-02-10T07:17:02,2010-02-10T18:08:29,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
