name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,2010-01-01,19.8,5,12.3,19.8,5,12.3,-7.8,27.5,0,0,0,,,,29.5,20.9,323.7,1022.2,64.8,15.6,152.5,13.1,6,,2010-01-01T07:32:33,2010-01-01T17:31:33,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-02,20.9,7.8,14.2,20.9,6.8,14.1,-4.5,29.3,0,0,0,,,,,10.7,331.5,1017.4,36.2,16,155.3,13.3,6,,2010-01-02T07:32:44,2010-01-02T17:32:18,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-03,21.8,6.7,13.4,21.8,5.7,13.4,-4,32.9,0,0,0,,,,,12.2,32.5,1018.4,15.3,16,156.3,13.5,6,,2010-01-03T07:32:53,2010-01-03T17:33:05,0.6,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-04,22.8,8,15.6,22.8,7.3,15.5,-6.5,23.6,0,0,0,,,,27.7,22.3,62.5,1018.4,41.6,16,152.2,13.2,6,,2010-01-04T07:33:00,2010-01-04T17:33:53,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-05,22,7.1,14.6,22,7.1,14.6,-3.6,30.6,0,0,0,,,,,11.8,330.9,1017,20.1,16,157.9,13.6,6,,2010-01-05T07:33:06,2010-01-05T17:34:41,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-06,19.9,7,13.4,19.9,5.8,13.3,-2.2,35.8,0,0,0,,,,,8.7,100.9,1016.3,55.4,16,150.9,13,6,,2010-01-06T07:33:10,2010-01-06T17:35:31,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-07,19.9,8.9,13.6,19.9,7.5,13.3,-1.7,36.3,0,0,0,,,,,10.6,115.6,1015,53.5,16,96.4,8.4,4,,2010-01-07T07:33:12,2010-01-07T17:36:21,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-08,20.7,7.9,14.2,20.7,6.4,14.1,-3.3,32.6,0,0,0,,,,31.3,21.5,76.6,1019.3,41.5,16,155.2,13.5,6,,2010-01-08T07:33:12,2010-01-08T17:37:12,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-09,20.8,7.8,13.9,20.8,7.3,13.8,-6.9,24.5,0,0,0,,,,,21.7,79.8,1021.2,36.1,16,162.9,14.1,6,,2010-01-09T07:33:10,2010-01-09T17:38:04,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-10,20.9,8.8,13.9,20.9,8,13.8,-5.7,27.5,0,0,0,,,,,20.2,69.7,1019.4,76.4,16,84.5,7.2,4,,2010-01-10T07:33:07,2010-01-10T17:38:57,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-11,22.8,7.1,14.5,22.8,7.1,14.5,-6.5,26.5,0,0,0,,,,,19.1,56,1020.4,16.9,16,161.1,13.9,6,,2010-01-11T07:33:02,2010-01-11T17:39:50,0.88,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-12,23.8,9.3,16.2,23.8,9.3,16.2,-7.7,20.8,0,0,0,,,,,15.7,96.3,1020.5,33.4,16,160.6,13.9,6,,2010-01-12T07:32:54,2010-01-12T17:40:44,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-13,21.7,12,16.3,21.7,12,16.3,-4.8,24.4,0.018,100,4.17,rain,,,35.5,20.2,95.7,1014.7,67.6,16,108.6,9.3,6,,2010-01-13T07:32:45,2010-01-13T17:41:39,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-14,21.9,9,15.3,21.9,8.3,15.1,1.3,42.5,0,0,0,,,,33.5,19,337.2,1014.4,26,16,158.9,13.7,6,,2010-01-14T07:32:35,2010-01-14T17:42:34,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-15,22.1,9.1,15.9,22.1,9.1,15.9,-1.8,31.6,0,0,0,,,,29.5,14.9,8.6,1019.4,14,16,166.5,14.5,6,,2010-01-15T07:32:22,2010-01-15T17:43:30,0,Clear,Clear conditions throughout the day.,clear-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-16,20.7,11.8,15.2,20.7,11.8,15.2,-2.4,30.7,0,0,0,,,,,16.9,99.9,1015.1,58.7,16,70.8,6,3,,2010-01-16T07:32:08,2010-01-16T17:44:26,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-17,19.8,9,14.3,19.8,7.4,14.1,-2.6,32.9,0,0,0,,,,,13.1,111.1,1012.8,80.3,16,145.5,12.6,6,,2010-01-17T07:31:51,2010-01-17T17:45:22,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-18,14.1,10.7,12.8,14.1,10.7,12.8,2.6,51.1,0.574,100,29.17,rain,,,38.9,30.2,84.4,1012.7,98.3,16,54.4,4.7,2,,2010-01-18T07:31:33,2010-01-18T17:46:19,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2010-01-19,18.9,11.7,14,18.9,11.7,14,8.8,72.4,23.247,100,45.83,rain,,,46.5,31.6,138.5,1007.6,87.9,14.9,114.8,9.8,5,,2010-01-19T07:31:13,2010-01-19T17:47:17,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
