name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,2020-11-01,34.3,18,26.5,31.7,18,25.5,2.1,22.5,0,0,0,,0,0,33.5,17.7,83.5,1017.4,65.5,16,161.8,13.9,7,,2020-11-01T06:47:32,2020-11-01T17:35:44,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2020-11-02,34.2,22,27.2,31.7,22,26.3,1.3,19.6,0,0,0,,0,0,33.5,19.8,103.2,1015.9,63,15.9,147.9,12.7,6,,2020-11-02T06:48:25,2020-11-02T17:34:50,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2020-11-03,33.6,20.1,26.5,31.2,20.1,25.7,1.8,20.8,0,0,0,,0,0,,12.2,130.7,1013.1,48.4,16,162,13.9,6,,2020-11-03T06:49:19,2020-11-03T17:33:58,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2020-11-04,33.2,18.7,25.3,30.9,18.7,24.5,4.1,27,0,0,0,,0,0,,12.5,109.1,1015.3,9,16,169.3,14.6,6,,2020-11-04T06:50:13,2020-11-04T17:33:07,0.64,Clear,Clear conditions throughout the day.,clear-day,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2020-11-05,36.5,17.4,26.8,33.7,17.4,25.8,2.5,23.7,0,0,0,,0,0,29.5,19.7,106,1013.4,30.8,16,167.7,14.3,6,,2020-11-05T06:51:07,2020-11-05T17:32:17,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2020-11-06,31.1,23.1,26.9,29,23.1,26.2,0.9,18.7,0,0,0,,0,0,,14.3,105.9,1004.3,84.7,16,57.5,4.9,3,,2020-11-06T06:52:02,2020-11-06T17:31:28,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2020-11-07,27,16.1,22.8,26.1,16.1,22.7,3,28,0,0,0,,0,0,58.3,42,253.7,1001.5,66.7,16,105.8,8.9,5,,2020-11-07T06:52:56,2020-11-07T17:30:41,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2020-11-08,18.3,10.9,15.5,18.3,10.9,15.5,1.6,39.5,0.008,100,4.17,rain,0,0,55.2,27.1,228.4,1007.6,57.5,16,126.7,10.8,6,,2020-11-08T06:53:51,2020-11-08T17:29:56,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2020-11-09,16.1,10.8,13.2,16.1,10.8,13.2,-0.2,41,0.078,100,12.5,rain,0,0,31.7,21.7,288.5,1014.8,51.3,16,165.4,14.1,7,,2020-11-09T06:54:47,2020-11-09T17:29:12,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
Arizona,2020-11-10,18.3,7.1,12.9,18.3,5.5,12.7,-3.6,34.6,0,0,0,,0,0,,16.5,301.1,1017.2,18.7,16,165.3,14,6,,2020-11-10T06:55:42,2020-11-10T17:28:30,0.85,Clear,Clear conditions throughout the day.,clear-day,"MADC,72278903192,72278403184,KSDL,KDVT,72278023183,KPHX"
