name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Arizona,1992-10-01,37.1,25.3,31.1,34.1,25.3,29.4,-0.6,13.8,0,0,0,,,,,28.5,88.2,1010.7,0.1,67.5,,,,,1992-10-01T06:22:49,1992-10-01T18:12:14,0.17,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-02,38.2,23.6,30.6,35.1,23.6,29.1,0.3,15.2,0,0,0,,,,,16,92.9,1007.4,1.3,65.7,,,,,1992-10-02T06:23:31,1992-10-02T18:10:54,0.21,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-03,36.5,22.6,29.2,34.5,22.6,28,4.2,20.8,0,0,0,,,,,20,81.4,1005.8,16.5,59.7,,,,,1992-10-03T06:24:14,1992-10-03T18:09:33,0.25,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-04,33.8,19.8,27,31.3,19.8,26.1,3.5,23.6,0,0,0,,,,,12.3,66.1,1007.7,32.8,63.2,,,,,1992-10-04T06:24:57,1992-10-04T18:08:14,0.27,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1992-10-05,35,19.7,27.2,32.3,19.7,26.1,2.1,21.4,0,0,0,,,,,15.7,85.8,1010.6,18.8,69.6,,,,,1992-10-05T06:25:41,1992-10-05T18:06:54,0.31,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-06,35.6,19.7,27.2,32.9,19.7,26.1,2.3,21.5,0,0,0,,,,,12.4,94.9,1011.9,1.8,61,,,,,1992-10-06T06:26:24,1992-10-06T18:05:36,0.34,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-07,33.9,18.4,26.5,31.4,18.4,25.6,-2.9,17.6,0,0,0,,,,,18.9,37.8,1013.3,27.1,65.8,,,,,1992-10-07T06:27:08,1992-10-07T18:04:17,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1992-10-08,33.7,16.9,25.4,31.3,16.9,24.5,-6.6,13.6,0,0,0,,,,,12.6,12.7,1011.6,40,65,,,,,1992-10-08T06:27:52,1992-10-08T18:02:59,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1992-10-09,33.8,17.5,25.4,31.3,17.5,24.5,-4.9,14.7,0,0,0,,,,,14,97.6,1010.3,0.3,60.3,,,,,1992-10-09T06:28:37,1992-10-09T18:01:42,0.44,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-10,35,18.6,26.2,32.3,18.6,25.3,-2.8,16.2,0,0,0,,,,,15.9,88.3,1012.7,0,59.3,,,,,1992-10-10T06:29:22,1992-10-10T18:00:26,0.47,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-11,36.5,18.6,26.7,33.6,18.6,25.7,-0.1,18.8,0,0,0,,,,,14.2,71.2,1014,0,61.9,,,,,1992-10-11T06:30:07,1992-10-11T17:59:10,0.5,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-12,38.2,19.8,28.4,35.3,19.8,27.1,1.6,19.1,0,0,0,,,,,12.8,85.2,1011.5,0,58.3,,,,,1992-10-12T06:30:52,1992-10-12T17:57:54,0.54,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-13,35.6,21.4,27.9,33,21.4,26.9,3.6,21.7,0,0,0,,,,,16,67,1008.3,20.1,59.3,,,,,1992-10-13T06:31:38,1992-10-13T17:56:40,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1992-10-14,33.7,19.1,26.4,31.3,19.1,25.5,3.7,24.1,0,0,0,,,,,19.6,77.9,1009.7,0,61.1,,,,,1992-10-14T06:32:24,1992-10-14T17:55:26,0.61,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-15,33.7,20.3,26.2,31.2,20.3,25.4,2.6,22.8,0,0,0,,,,,14.3,80.9,1013.4,0.4,64.7,,,,,1992-10-15T06:33:11,1992-10-15T17:54:13,0.64,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-16,33.8,18.5,25.9,31.3,18.5,25,1.5,21.9,0,0,0,,,,,14.7,83.2,1014.2,8.6,63.2,,,,,1992-10-16T06:33:58,1992-10-16T17:53:00,0.68,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-17,34.3,18.5,25.8,31.7,18.5,24.9,0.9,20.9,0,0,0,,,,,14.3,77.5,1013.3,17.6,67.2,,,,,1992-10-17T06:34:45,1992-10-17T17:51:49,0.71,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-18,35,19.2,26.4,32.3,19.2,25.4,1.5,21.3,0,0,0,,,,,14.2,82.7,1011.9,53.5,64.9,,,,,1992-10-18T06:35:33,1992-10-18T17:50:38,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1992-10-19,33.3,21.4,26.2,30.9,21.4,25.4,3,23.2,0,0,0,,,,,14.4,81.9,1010.2,71.9,58,,,,,1992-10-19T06:36:21,1992-10-19T17:49:28,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1992-10-20,34.2,18.6,25.9,32,18.6,25.1,4.7,26.6,0,0,0,,,,,11.3,91.8,1009.6,5.4,57.3,,,,,1992-10-20T06:37:10,1992-10-20T17:48:19,0.82,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
Arizona,1992-10-21,33.2,21.3,26.6,31.1,21.3,26.1,9.4,34.8,0,0,0,,,,,22.3,105.8,1011.2,42.4,61.2,,,,,1992-10-21T06:37:58,1992-10-21T17:47:11,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1992-10-22,32.9,20.4,26.9,31.4,20.4,26.2,10,35.7,0,0,0,,,,,18.1,93.3,1014.6,62.8,61.3,,,,,1992-10-22T06:38:48,1992-10-22T17:46:04,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1992-10-23,33.4,21.5,27.8,32.1,21.5,27.3,12.4,40.2,0,0,0,,,,,20.4,89.3,1015.9,51.1,62.3,,,,,1992-10-23T06:39:37,1992-10-23T17:44:58,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72278023183,72278523111"
Arizona,1992-10-24,32.4,22,26,31.7,22,26,15.8,54.7,1.528,100,12.5,rain,,,,18.7,93.4,1012.6,70.8,56.2,,,,,1992-10-24T06:40:27,1992-10-24T17:43:54,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72278023183,72278523111"
Arizona,1992-10-25,29.3,18.6,23.5,28.4,18.6,23.4,12.6,53.2,0,0,0,,,,,15.7,280.5,1013.7,4.5,66.9,,,,,1992-10-25T06:41:18,1992-10-25T17:42:50,0,Clear,Clear conditions throughout the day.,clear-day,"72278023183,72278523111"
